,Lead Origin,Lead Source,Do Not Email,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity
65,Landing Page Submission,Google,No,1,1.0,157,1.0,Converted to Lead,India,Hospitality Management,Word Of Mouth,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,14.0,No,Modified
66,API,Google,No,1,3.0,885,1.5,Had a Phone Conversation,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,18.0,No,Had a Phone Conversation
67,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,16.0,No,Modified
68,API,Olark Chat,No,0,0.0,0,0.0,View in browser link Clicked,Other,Finance Management,Select,Unemployed,Better Career Prospects,Interested in other courses,Low in Relevance,Other Leads,Select,03.Low,02.Medium,12.0,14.0,No,Modified
69,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
70,Landing Page Submission,Direct Traffic,No,0,1.0,1710,1.0,Converted to Lead,India,Retail Management,Select,Unemployed,Better Career Prospects,Already a student,Worst,Potential Lead,Thane & Outskirts,01.High,01.High,16.0,19.0,Yes,Modified
71,Landing Page Submission,Direct Traffic,No,0,4.0,219,4.0,Email Opened,India,Business Administration,Word Of Mouth,Unemployed,Better Career Prospects,Ringing,Other,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,Email Opened
72,Landing Page Submission,Referral Sites,Yes,0,3.0,111,3.0,Email Bounced,India,International Business,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Other Metro Cities,02.Medium,02.Medium,13.0,15.0,Yes,Modified
73,API,Organic Search,No,0,6.0,224,6.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,switched off,Not Sure,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
74,Landing Page Submission,Direct Traffic,No,0,5.0,224,1.67,Page Visited on Website,India,Operations Management,Other,Other,Other,Other,Other,Other,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,Yes,Page Visited on Website
75,Landing Page Submission,Direct Traffic,No,1,2.0,1071,2.0,Email Opened,India,Marketing Management,Select,Unemployed,Better Career Prospects,Lost to EINS,Not Sure,Select,Other Cities of Maharashtra,03.Low,01.High,12.0,17.0,Yes,Email Opened
76,Landing Page Submission,Google,No,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Word Of Mouth,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Mumbai,02.Medium,01.High,14.0,20.0,No,Email Opened
77,Lead Add Form,Welingak Website,No,1,Other,1096,Other,Other,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
78,API,Referral Sites,No,0,4.0,520,4.0,Email Opened,India,Operations Management,Student of SomeSchool,Unemployed,Better Career Prospects,in touch with EINS,Other,Select,Mumbai,03.Low,02.Medium,10.0,15.0,No,Email Opened
79,Lead Add Form,Reference,No,1,Other,705,Other,Other,Other,Hospitality Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Low in Relevance,Potential Lead,Thane & Outskirts,02.Medium,02.Medium,14.0,16.0,No,Modified
80,API,Google,No,0,2.0,393,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Other Leads,Select,02.Medium,02.Medium,14.0,14.0,No,Email Opened
81,Lead Add Form,Welingak Website,No,1,Other,346,Other,Other,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
82,API,Olark Chat,No,1,0.0,0,0.0,Email Link Clicked,Other,Operations Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Select,02.Medium,02.Medium,15.0,16.0,No,Email Link Clicked
83,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,17.0,15.0,No,Modified
84,Landing Page Submission,Google,No,1,3.0,1136,3.0,Page Visited on Website,India,IT Projects Management,Other,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,01.High,02.Medium,16.0,15.0,No,Modified
85,API,Referral Sites,No,0,3.0,335,3.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,14.0,13.0,No,Modified
86,API,Referral Sites,No,0,4.0,75,4.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,14.0,13.0,No,Email Opened
87,Landing Page Submission,Direct Traffic,No,0,6.0,97,3.0,Email Opened,Kuwait,Supply Chain Management,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,15.0,18.0,Yes,Email Opened
88,Lead Add Form,Reference,No,1,Other,1007,Other,Other,Other,Human Resource Management,Select,Unemployed,Better Career Prospects,Closed by Horizzon,High in Relevance,Lateral Student,Mumbai,02.Medium,01.High,14.0,20.0,No,Modified
89,Landing Page Submission,Organic Search,No,0,2.0,1085,2.0,Converted to Lead,India,Rural and Agribusiness,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Other Cities of Maharashtra,02.Medium,02.Medium,13.0,14.0,Yes,Modified
90,API,Organic Search,No,0,3.0,214,3.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
91,API,Olark Chat,No,1,6.0,1158,1.5,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,Other,Other,Select,Other Cities,02.Medium,02.Medium,15.0,14.0,Yes,Email Opened
92,Landing Page Submission,Google,No,0,4.0,101,4.0,Email Opened,India,Finance Management,Other,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,15.0,18.0,No,Email Opened
93,Landing Page Submission,Google,No,0,9.0,838,4.5,Email Opened,India,Healthcare Management,Word Of Mouth,Other,Other,Other,Other,Other,Mumbai,02.Medium,02.Medium,13.0,15.0,No,Email Opened
94,Landing Page Submission,Direct Traffic,No,0,3.0,536,3.0,Unreachable,India,Finance Management,Select,Unemployed,Better Career Prospects,number not provided,Not Sure,Select,Mumbai,03.Low,01.High,9.0,18.0,Yes,Modified
95,Landing Page Submission,Direct Traffic,No,0,4.0,161,2.0,Unreachable,India,Marketing Management,Select,Unemployed,Better Career Prospects,Busy,Not Sure,Select,Select,03.Low,01.High,12.0,17.0,No,Unreachable
96,Landing Page Submission,Google,No,0,2.0,511,2.0,Form Submitted on Website,India,Healthcare Management,Student of SomeSchool,Unemployed,Better Career Prospects,Diploma holder (Not Eligible),Other,Select,Mumbai,03.Low,02.Medium,9.0,15.0,No,Modified
97,API,Olark Chat,No,0,0.0,0,0.0,Olark Chat Conversation,Other,Select,Select,Unemployed,Better Career Prospects,opp hangup,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
98,API,Google,No,1,5.0,1110,5.0,Olark Chat Conversation,India,Human Resource Management,Select,Working Professional,Better Career Prospects,Will revert after reading the email,Might be,Potential Lead,Select,01.High,02.Medium,16.0,16.0,No,Modified
99,Landing Page Submission,Direct Traffic,No,1,5.0,1563,5.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Potential Lead,Mumbai,02.Medium,01.High,15.0,20.0,Yes,Email Opened
100,API,Referral Sites,No,0,7.0,1633,3.5,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Select,02.Medium,02.Medium,14.0,13.0,No,Modified
101,API,Olark Chat,No,1,0.0,0,0.0,Email Opened,Other,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
102,Landing Page Submission,Google,No,0,12.0,809,4.0,Unreachable,India,Finance Management,Online Search,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,13.0,18.0,No,Modified
103,Landing Page Submission,Direct Traffic,No,0,2.0,638,2.0,Page Visited on Website,Oman,Healthcare Management,Select,Unemployed,Better Career Prospects,switched off,Other,Select,Mumbai,02.Medium,02.Medium,14.0,15.0,Yes,Modified
104,API,Google,No,1,5.0,1196,5.0,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
105,Landing Page Submission,Organic Search,No,0,6.0,1485,6.0,Email Opened,India,Supply Chain Management,Select,Unemployed,Better Career Prospects,Ringing,Other,Select,Other Cities,02.Medium,02.Medium,14.0,16.0,Yes,Email Opened
106,API,Google,No,0,9.0,125,3.0,Page Visited on Website,India,Other,Other,Other,Other,Interested in other courses,Other,Other,Other,02.Medium,02.Medium,14.0,15.0,No,Modified
107,API,Google,No,1,3.0,165,3.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,02.Medium,02.Medium,15.0,15.0,No,Modified
108,Landing Page Submission,Google,No,0,6.0,398,3.0,Olark Chat Conversation,India,E-COMMERCE,Student of SomeSchool,Other,Other,Other,Other,Other,Mumbai,02.Medium,02.Medium,15.0,15.0,Yes,Olark Chat Conversation
109,API,Organic Search,No,0,3.0,570,3.0,Converted to Lead,India,Other,Other,Other,Other,Interested in other courses,Other,Other,Other,02.Medium,02.Medium,13.0,15.0,No,Modified
110,Landing Page Submission,Organic Search,No,1,6.0,895,6.0,Email Opened,India,Operations Management,Select,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Dual Specialization Student,Other Cities of Maharashtra,02.Medium,01.High,14.0,18.0,Yes,Email Opened
111,Landing Page Submission,Google,No,1,4.0,1190,4.0,Email Opened,India,Human Resource Management,Multiple Sources,Unemployed,Better Career Prospects,Will revert after reading the email,Might be,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,Email Opened
112,Lead Add Form,Reference,No,1,0.0,0,0.0,Email Link Clicked,Other,Business Administration,Select,Working Professional,Better Career Prospects,Closed by Horizzon,High in Relevance,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,Email Link Clicked
113,API,Direct Traffic,No,0,5.0,1566,5.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,Graduation in progress,Other,Select,Select,03.Low,02.Medium,11.0,15.0,No,Modified
114,API,Google,No,1,5.0,727,5.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Will revert after reading the email,High in Relevance,Dual Specialization Student,Thane & Outskirts,02.Medium,02.Medium,14.0,15.0,No,Email Opened
115,Landing Page Submission,Google,No,0,8.0,652,4.0,Unreachable,India,Hospitality Management,Other,Unemployed,Better Career Prospects,Ringing,Other,Select,Mumbai,02.Medium,02.Medium,13.0,15.0,No,Modified
116,API,Organic Search,No,0,4.0,1248,1.33,Email Opened,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,13.0,15.0,No,Email Opened
117,API,Google,No,0,2.0,767,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,Already a student,Worst,Student of SomeSchool,Select,02.Medium,02.Medium,15.0,14.0,No,Modified
118,API,Referral Sites,No,0,10.0,275,3.33,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,Interested in other courses,Other,Select,Select,02.Medium,02.Medium,15.0,13.0,No,Page Visited on Website
119,API,Organic Search,No,0,3.0,273,3.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,switched off,Other,Select,Select,02.Medium,02.Medium,14.0,15.0,No,Modified
120,Lead Add Form,Reference,No,1,Other,1111,Other,Other,Other,Marketing Management,Select,Working Professional,Better Career Prospects,Closed by Horizzon,Low in Relevance,Potential Lead,Other Cities,02.Medium,01.High,14.0,18.0,No,Modified
121,Landing Page Submission,Google,No,0,8.0,277,4.0,Email Opened,India,Finance Management,Online Search,Other,Other,Other,Other,Other,Mumbai,02.Medium,01.High,14.0,18.0,No,Email Opened
122,API,Organic Search,No,1,3.0,1207,1.5,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,Other,Other,Select,Select,01.High,02.Medium,16.0,15.0,No,Modified
123,API,Google,No,0,2.0,39,1.0,Converted to Lead,India,Other,Other,Other,Other,Other,Other,Other,Other,01.High,02.Medium,16.0,15.0,No,Modified
124,Landing Page Submission,Google,No,0,4.0,1638,4.0,Email Opened,India,Finance Management,Select,Unemployed,Better Career Prospects,Ringing,Not Sure,Select,Mumbai,03.Low,01.High,12.0,18.0,Yes,Email Opened
125,API,Referral Sites,No,0,16.0,53,16.0,Olark Chat Conversation,India,Other,Other,Other,Other,Other,Other,Other,Other,02.Medium,02.Medium,15.0,13.0,No,Modified
126,Landing Page Submission,Direct Traffic,No,0,1.0,127,1.0,Converted to Lead,India,Finance Management,Select,Unemployed,Better Career Prospects,Already a student,Other,Select,Mumbai,01.High,01.High,16.0,18.0,Yes,Modified
